,full_name,party,twitter
572,Marianne Schieder, SPD,['http://www.twitter.com/@m_schieder']
573,Udo Schiefner, SPD,[]
574,Ulrike Schielke-Ziesing, AfD,['https://twitter.com/ulschzi']
575,Peggy Schierenbeck, SPD,[]
576,Jana Schimke, CDU/CSU,[]
577,Timo Schisanowski, SPD,[]
578,Christoph Schmid, SPD,['https://www.twitter.com/@kratermensch']
579,Dr. Nils Schmid, SPD,['https://twitter.com/nilsschmid?lang=de']
580,Dagmar Schmidt (Wetzlar), SPD,['http://www.twitter.com/dieschmidt']
581,Eugen Schmidt, AfD,['https://twitter.com/AfDrus']
582,Jan Wenzel Schmidt, AfD,['https://twitter.com/jws_afd']
583,Stefan Schmidt, Bündnis 90/Die Grünen,['https://twitter.com/Schmidt_MdB']
584,Uwe Schmidt, SPD,[]
585,Carsten Schneider (Erfurt), SPD,['http://www.twitter.com/schneidercar']
586,Daniel Schneider, SPD,['http://www.twitter.com/schneider_cux']
587,Jörg Schneider, AfD,['https://twitter.com/Schneider_AfD']
588,Patrick Schnieder, CDU/CSU,['http://www.twitter.com/PSchnieder']
589,Nadine Schön, CDU/CSU,['https://twitter.com/NadineSchoen']
590,Marlene Schönberger, Bündnis 90/Die Grünen,['https://twitter.com/lime_green_leni']
591,Olaf Scholz, SPD,['https://twitter.com/OlafScholz']
592,Johannes Schraps, SPD,['https://twitter.com/jojoschraps']
593,Christian Schreider, SPD,[]
594,Felix Schreiner, CDU/CSU,['https://twitter.com/felixschreiner']
595,Michael Schrodi, SPD,['http://www.twitter.com/mischrodi']
596,Christina-Johanne Schröder, Bündnis 90/Die Grünen,['https://twitter.com/cj_schroeder']
597,Ria Schröder, FDP,['https://twitter.com/ria_schroeder']
598,Anja Schulz, FDP,['https://twitter.com/_anja_schulz']
599,Uwe Schulz, AfD,['https://twitter.com/Uwe_Schulz_AfD']
600,Kordula Schulz-Asche, Bündnis 90/Die Grünen,['https://twitter.com/k_sa']
601,Svenja Schulze, SPD,['https://twitter.com/SvenjaSchulze68']
602,Frank Schwabe, SPD,['https://twitter.com/FrankSchwabe']
603,Stefan Schwartze, SPD,['https://twitter.com/s_schwartze']
604,Andreas Schwarz, SPD,['https://twitter.com/Schwarz_MdB']
605,Armin Schwarz, CDU/CSU,[]
606,Rita Schwarzelühr-Sutter, SPD,['https://twitter.com/rischwasu?lang=en']
607,Matthias Seestern-Pauly, FDP,['https://twitter.com/mseesternpauly']
608,Stefan Seidler, fraktionslos,['https://twitter.com/stefan_seidler']
609,Detlef Seif, CDU/CSU,[]
610,Prof. Dr. Stephan Seiter, FDP,['https://twitter.com/StSeiter']
611,Thomas Seitz, AfD,['https://twitter.com/Th_Seitz_AfD']
612,Dr. Lina Seitzl, SPD,['https://twitter.com/lina_seitzl']
613,Melis Sekmen, Bündnis 90/Die Grünen,['https://twitter.com/Melis_S']
614,Rainer Semet, FDP,['https://twitter.com/RainerSemet']
615,Martin Sichert, AfD,['https://twitter.com/Martin_Sichert']
616,Thomas Silberhorn, CDU/CSU,['https://twitter.com/SilberhornMdB']
617,Björn Simon, CDU/CSU,['https://twitter.com/bjoernsimon']
618,Dr. Petra Sitte, Die Linke,['https://twitter.com/petra_sitte_mdb?lang=de']
619,Judith Skudelny, FDP,[]
620,Nyke Slawik, Bündnis 90/Die Grünen,['https://twitter.com/nyke_slawik']
621,Tino Sorge, CDU/CSU,['https://twitter.com/TinoSorge']
622,Jens Spahn, CDU/CSU,['https://twitter.com/jensspahn']
623,Dr. Anne Monika Spallek, Bündnis 90/Die Grünen,['https://twitter.com/AnneSpallek']
624,Dr. Dirk Spaniel, AfD,['https://twitter.com/dirkspaniel']
625,Merle Spellerberg, Bündnis 90/Die Grünen,['https://twitter.com/spellerberg_m']
626,René Springer, AfD,['https://twitter.com/Rene_Springer']
627,Svenja Stadler, SPD,['https://twitter.com/stadler_svenja']
628,Katrin Staffler, CDU/CSU,['https://twitter.com/katrin_staffler']
629,Nina Stahr, Bündnis 90/Die Grünen,['https://twitter.com/ninastahr']
630,Martina Stamm-Fibich, SPD,['http://www.twitter.com/stamm_fibich']
631,Bettina Stark-Watzinger, FDP,['https://twitter.com/starkwatzinger']
632,Dr. Till Steffen, Bündnis 90/Die Grünen,['https://twitter.com/till_steffen']
633,Dr. Wolfgang Stefinger, CDU/CSU,['http://www.twitter.com/stefingermdb']
634,Albert Stegemann, CDU/CSU,['https://twitter.com/StegemannAlbert']
635,Dr. Ralf Stegner, SPD,['https://twitter.com/ralf_stegner']
636,Mathias Stein, SPD,['https://twitter.com/stonie_kiel']
637,Johannes Steiniger, CDU/CSU,['https://twitter.com/josteiniger']
638,Hanna Steinmüller, Bündnis 90/Die Grünen,['https://twitter.com/HanSteinmueller']
639,Christian Freiherr von Stetten, CDU/CSU,['https://twitter.com/cvstetten?lang=de']
640,Nadja Sthamer, SPD,['https://twitter.com/nadjasthamer']
641,Dieter Stier, CDU/CSU,[]
642,Konrad Stockmeier, FDP,[]
643,Klaus Stöber, AfD,[]
644,Diana Stöcker, CDU/CSU,[]
645,Beatrix von Storch, AfD,['https://twitter.com/Beatrix_vStorch']
646,Gero Storjohann, CDU/CSU,[]
647,Dr. Marie-Agnes Strack-Zimmermann, FDP,['https://twitter.com/MAStrackZi']
648,Stephan Stracke, CDU/CSU,[]
649,Benjamin Strasser, FDP,['https://twitter.com/bstrasser']
650,Max Straubinger, CDU/CSU,[]
651,Dr. Wolfgang Strengmann-Kuhn, Bündnis 90/Die Grünen,['https://www.twitter.com/w_sk']
652,Ruppert Stüwe, SPD,['https://twitter.com/stuewer']
653,Christina Stumpp, CDU/CSU,[]
654,Kassem Taher Saleh, Bündnis 90/Die Grünen,['https://twitter.com/kassem_ts']
655,Jessica Tatti, Die Linke,['https://twitter.com/jessica_tatti']
656,Claudia Tausend, SPD,[]
657,Dr. Hermann-Josef Tebroke, CDU/CSU,[]
658,Awet Tesfaiesus, Bündnis 90/Die Grünen,['https://twitter.com/AwetTesfaiesus']
659,Linda Teuteberg, FDP,['https://twitter.com/LindaTeuteberg']
660,Jens Teutrine, FDP,['https://twitter.com/jensteutrine']
661,Michael Theurer, FDP,['https://twitter.com/eutheurer']
662,Michael Thews, SPD,['https://twitter.com/michaelthews']
663,Hans-Jürgen Thies, CDU/CSU,[]
664,Stephan Thomae, FDP,['https://twitter.com/stephanthomae?lang=de']
665,Alexander Throm, CDU/CSU,['https://www.twitter.com/alexander_throm']
666,Antje Tillmann, CDU/CSU,['http://twitter.com/AntjeTillmann']
667,Astrid Timmermann-Fechter, CDU/CSU,[]
668,Nico Tippelt, FDP,['https://twitter.com/NicoTippelt']
669,Manfred Todtenhausen, FDP,['https://twitter.com/MTodtenhausen']
670,Markus Töns, SPD,['https://twitter.com/Toens_NRW04']
671,Dr. Florian Toncar, FDP,['https://twitter.com/florian_toncar']
672,Carsten Träger, SPD,['https://twitter.com/CarstenTraeger']
673,Jürgen Trittin, Bündnis 90/Die Grünen,['http://www.twitter.com/JTrittin']
674,Anja Troff-Schaffarzyk, SPD,['https://twitter.com/anja_troff']
675,Derya Türk-Nachbaur, SPD,['https://twitter.com/derya_tn']
676,Markus Uhl, CDU/CSU,[]
677,Katrin Uhlig, Bündnis 90/Die Grünen,['https://twitter.com/katrinuhligbn']
678,Prof. Dr. Andrew Ullmann, FDP,['https://twitter.com/ullmannmdb']
679,Frank Ullrich, SPD,[]
680,Gerald Ullrich, FDP,['https://twitter.com/G_UllrichFDP']
681,Dr. Volker Ullrich, CDU/CSU,['https://twitter.com/VolkerUllrich']
682,Alexander Ulrich, Die Linke,[]
683,Dr. Julia Verlinden, Bündnis 90/Die Grünen,['http://www.twitter.com/julia_verlinden']
684,Kerstin Vieregge, CDU/CSU,['https://twitter.com/Kerstin_4egge']
685,Marja-Liisa Völlers, SPD,['https://twitter.com/marjavoellers']
686,Dirk Vöpel, SPD,[]
687,Johannes Vogel, FDP,['https://twitter.com/johannesvogel']
688,Kathrin Vogler, Die Linke,['https://twitter.com/voglerk']
689,Dr. Oliver Vogt, CDU/CSU,[]
690,Christoph de Vries, CDU/CSU,[]
691,Dr. Johann David Wadephul, CDU/CSU,['https://twitter.com/jowadephul']
692,Niklas Wagener, Bündnis 90/Die Grünen,['https://twitter.com/wagenerniklas']
693,Robin Wagener, Bündnis 90/Die Grünen,['https://twitter.com/robinwagener']
694,Dr. Sahra Wagenknecht, Die Linke,['https://twitter.com/SWagenknecht']
695,Dr. Carolin Wagner, SPD,[]
696,Johannes Wagner, Bündnis 90/Die Grünen,['https://twitter.com/yooHannes']
697,Maja Wallstein, SPD,['https://twitter.com/krawallstein']
698,Hannes Walter, SPD,['https://twitter.com/HannesWalterSPD']
699,Beate Walter-Rosenheimer, Bündnis 90/Die Grünen,['http://twitter.com/BeateWaRo']
700,Marco Wanderwitz, CDU/CSU,['https://twitter.com/wanderwitz']
701,Nina Warken, CDU/CSU,['https://twitter.com/ninawarken?lang=de']
702,Sandra Weeser, FDP,['https://twitter.com/sandra_weeser']
703,Carmen Wegge, SPD,['https://www.twitter.com/CarmenWegge']
704,Melanie Wegling, SPD,[]
705,Dr. Alice Weidel, AfD,['https://twitter.com/Alice_Weidel']
706,Dr. Joe Weingarten, SPD,['https://twitter.com/drjoeweingarten']
707,Dr. Anja Weisgerber, CDU/CSU,['https://twitter.com/anjaweisgerber']
708,Saskia Weishaupt, Bündnis 90/Die Grünen,['https://twitter.com/SaskiaLeaRaquel']
709,Maria-Lena Weiss, CDU/CSU,[]
710,Sabine Weiss (Wesel I), CDU/CSU,[]
711,Stefan Wenzel, Bündnis 90/Die Grünen,['https://twitter.com/stefwenzel']
712,Lena Werner, SPD,['https://twitter.com/thereallenzii?s=09']
713,Nicole Westig, FDP,['https://twitter.com/nicolewestig?lang=de']
714,Bernd Westphal, SPD,['https://twitter.com/BerndWestphal4']
715,Prof. Dr. Harald Weyel, AfD,['https://twitter.com/h_weyel?lang=de']
716,Kai Whittaker, CDU/CSU,['https://twitter.com/kai_whittaker']
717,Annette Widmann-Mauz, CDU/CSU,['https://twitter.com/awidmannmauz?lang=de']
718,Wolfgang Wiehle, AfD,['https://twitter.com/wolfgangwiehle?lang=de']
719,Dr. Klaus Wiener, CDU/CSU,['https://twitter.com/KlausWiener']
720,Dirk Wiese, SPD,['https://twitter.com/dirkwiesespd/']
721,Klaus-Peter Willsch, CDU/CSU,[]
722,Elisabeth Winkelmeier-Becker, CDU/CSU,[]
723,Tobias Winkler, CDU/CSU,[]
724,Tina Winklmann, Bündnis 90/Die Grünen,['https://twitter.com/@TinaWinklmann']
725,Dr. Christian Wirth, AfD,['http://twitter.com/ChrWirthMdB']
726,Dr. Volker Wissing, FDP,['https://twitter.com/Wissing']
727,Janine Wissler, Die Linke,[]
728,Uwe Witt, fraktionslos,['https://twitter.com/witt_uwe?lang=de']
729,Mechthilde Wittmann, CDU/CSU,[]
730,Dr. Herbert Wollmann, SPD,[]
731,Mareike Lotte Wulf, CDU/CSU,['https://twitter.com/MareikeWulf']
732,Joachim Wundrak, AfD,['https://twitter.com/joachimwundrak']
733,Gülistan Yüksel, SPD,[]
734,Emmi Zeulner, CDU/CSU,[]
735,Kay-Uwe Ziegler, AfD,['https://twitter.com/KayUweZiegler71']
736,Paul Ziemiak, CDU/CSU,['https://twitter.com/PaulZiemiak']
737,Stefan Zierke, SPD,['http://twitter.com/zierke']
738,Dr. Jens Zimmermann, SPD,['https://twitter.com/jenszspd']
739,Nicolas Zippelius, CDU/CSU,['https://twitter.com/nzippelius?lang=de']
